,Year,Country,Emigrants
7051,1995,Latin America and the Caribbean,19669704.0
7052,1995,Latin America and the Caribbean,19669704.0
7053,1995,Latin America and the Caribbean,19669704.0
7054,1995,Latin America and the Caribbean,19669704.0
7055,1995,Latin America and the Caribbean,19669704.0
7056,1995,Latin America and the Caribbean,19669704.0
7057,1995,Latin America and the Caribbean,19669704.0
7058,1995,Latin America and the Caribbean,19669704.0
7059,1995,Latin America and the Caribbean,19669704.0
7060,1995,Latin America and the Caribbean,19669704.0
7061,1995,Latin America and the Caribbean,19669704.0
7062,1995,Latin America and the Caribbean,19669704.0
7063,1995,Latin America and the Caribbean,19669704.0
7064,1995,Latin America and the Caribbean,19669704.0
7065,1995,Latin America and the Caribbean,19669704.0
7066,1995,Latin America and the Caribbean,19669704.0
7067,1995,Latin America and the Caribbean,19669704.0
7068,1995,Latin America and the Caribbean,19669704.0
7069,1995,Latin America and the Caribbean,19669704.0
7070,1995,Latin America and the Caribbean,19669704.0
7071,1995,Latin America and the Caribbean,19669704.0
7072,1995,Latin America and the Caribbean,19669704.0
7073,1995,Latin America and the Caribbean,19669704.0
7074,1995,Latin America and the Caribbean,19669704.0
7075,1995,Latin America and the Caribbean,19669704.0
7076,1995,Latin America and the Caribbean,19669704.0
7077,1995,Latin America and the Caribbean,19669704.0
7078,1995,Latin America and the Caribbean,19669704.0
7079,1995,Latin America and the Caribbean,19669704.0
7080,1995,Latin America and the Caribbean,19669704.0
7081,1995,Latin America and the Caribbean,19669704.0
7082,1995,Latin America and the Caribbean,19669704.0
7083,1995,Latin America and the Caribbean,19669704.0
7084,1995,Latin America and the Caribbean,19669704.0
7085,1995,Latin America and the Caribbean,19669704.0
7086,1995,Latin America and the Caribbean,19669704.0
7087,1995,Latin America and the Caribbean,19669704.0
7088,1995,Latin America and the Caribbean,19669704.0
7089,1995,Latin America and the Caribbean,19669704.0
7090,1995,Latin America and the Caribbean,19669704.0
7091,1995,Latin America and the Caribbean,19669704.0
7092,1995,Latin America and the Caribbean,19669704.0
7093,1995,Latin America and the Caribbean,19669704.0
7094,1995,Latin America and the Caribbean,19669704.0
7095,1995,Latin America and the Caribbean,19669704.0
7096,1995,Latin America and the Caribbean,19669704.0
7097,1995,Latin America and the Caribbean,19669704.0
7098,1995,Latin America and the Caribbean,19669704.0
7099,1995,Latin America and the Caribbean,19669704.0
7100,1995,Latin America and the Caribbean,19669704.0
7101,1995,Latin America and the Caribbean,19669704.0
7102,1995,Latin America and the Caribbean,19669704.0
7103,1995,Latin America and the Caribbean,19669704.0
7104,1995,Latin America and the Caribbean,19669704.0
7105,1995,Latin America and the Caribbean,19669704.0
7106,1995,Latin America and the Caribbean,19669704.0
7107,1995,Latin America and the Caribbean,19669704.0
7108,1995,Latin America and the Caribbean,19669704.0
7109,1995,Latin America and the Caribbean,19669704.0
7110,1995,Latin America and the Caribbean,19669704.0
7111,1995,Latin America and the Caribbean,19669704.0
7112,1995,Latin America and the Caribbean,19669704.0
7113,1995,Latin America and the Caribbean,19669704.0
7114,1995,Latin America and the Caribbean,19669704.0
7115,1995,Latin America and the Caribbean,19669704.0
7116,1995,Latin America and the Caribbean,19669704.0
7117,1995,Latin America and the Caribbean,19669704.0
7118,1995,Latin America and the Caribbean,19669704.0
7119,1995,Latin America and the Caribbean,19669704.0
7120,1995,Latin America and the Caribbean,19669704.0
7121,1995,Latin America and the Caribbean,19669704.0
7122,1995,Latin America and the Caribbean,19669704.0
7123,1995,Latin America and the Caribbean,19669704.0
7124,1995,Latin America and the Caribbean,19669704.0
7125,1995,Latin America and the Caribbean,19669704.0
7126,1995,Latin America and the Caribbean,19669704.0
7127,1995,Latin America and the Caribbean,19669704.0
7128,1995,Latin America and the Caribbean,19669704.0
7129,1995,Latin America and the Caribbean,19669704.0
7130,1995,Latin America and the Caribbean,19669704.0
7131,1995,Latin America and the Caribbean,19669704.0
7132,1995,Latin America and the Caribbean,19669704.0
7133,1995,Latin America and the Caribbean,19669704.0
7134,1995,Latin America and the Caribbean,19669704.0
7135,1995,Latin America and the Caribbean,19669704.0
7136,1995,Latin America and the Caribbean,19669704.0
7137,1995,Latin America and the Caribbean,19669704.0
7138,1995,Latin America and the Caribbean,19669704.0
7139,1995,Latin America and the Caribbean,19669704.0
7140,1995,Latin America and the Caribbean,19669704.0
7141,1995,Latin America and the Caribbean,19669704.0
7142,1995,Latin America and the Caribbean,19669704.0
7143,1995,Latin America and the Caribbean,19669704.0
7144,1995,Latin America and the Caribbean,19669704.0
7145,1995,Latin America and the Caribbean,19669704.0
7146,1995,Latin America and the Caribbean,19669704.0
7147,1995,Latin America and the Caribbean,19669704.0
7148,1995,Latin America and the Caribbean,19669704.0
7149,1995,Latin America and the Caribbean,19669704.0
7150,1995,Latin America and the Caribbean,19669704.0
7151,1995,Latin America and the Caribbean,19669704.0
7152,1995,Latin America and the Caribbean,19669704.0
7153,1995,Latin America and the Caribbean,19669704.0
7154,1995,Latin America and the Caribbean,19669704.0
7155,1995,Latin America and the Caribbean,19669704.0
7156,1995,Latin America and the Caribbean,19669704.0
7157,1995,Latin America and the Caribbean,19669704.0
7158,1995,Latin America and the Caribbean,19669704.0
7159,1995,Latin America and the Caribbean,19669704.0
7160,1995,Latin America and the Caribbean,19669704.0
7161,1995,Latin America and the Caribbean,19669704.0
7162,1995,Latin America and the Caribbean,19669704.0
7163,1995,Latin America and the Caribbean,19669704.0
7164,1995,Latin America and the Caribbean,19669704.0
7165,1995,Latin America and the Caribbean,19669704.0
7166,1995,Latin America and the Caribbean,19669704.0
7167,1995,Latin America and the Caribbean,19669704.0
7168,1995,Latin America and the Caribbean,19669704.0
7169,1995,Latin America and the Caribbean,19669704.0
7170,1995,Latin America and the Caribbean,19669704.0
7171,1995,Latin America and the Caribbean,19669704.0
7172,1995,Latin America and the Caribbean,19669704.0
7173,1995,Latin America and the Caribbean,19669704.0
7174,1995,Latin America and the Caribbean,19669704.0
7175,1995,Latin America and the Caribbean,19669704.0
7176,1995,Latin America and the Caribbean,19669704.0
7177,1995,Latin America and the Caribbean,19669704.0
7178,1995,Latin America and the Caribbean,19669704.0
7179,1995,Latin America and the Caribbean,19669704.0
7180,1995,Latin America and the Caribbean,19669704.0
7181,1995,Latin America and the Caribbean,19669704.0
7182,1995,Latin America and the Caribbean,19669704.0
7183,1995,Latin America and the Caribbean,19669704.0
7184,1995,Latin America and the Caribbean,19669704.0
7185,1995,Latin America and the Caribbean,19669704.0
7186,1995,Latin America and the Caribbean,19669704.0
7187,1995,Latin America and the Caribbean,19669704.0
7188,1995,Latin America and the Caribbean,19669704.0
7189,1995,Latin America and the Caribbean,19669704.0
7190,1995,Latin America and the Caribbean,19669704.0
7191,1995,Latin America and the Caribbean,19669704.0
7192,1995,Latin America and the Caribbean,19669704.0
7193,1995,Latin America and the Caribbean,19669704.0
7194,1995,Latin America and the Caribbean,19669704.0
7195,1995,Latin America and the Caribbean,19669704.0
